Hour,Real,Predicted,Residuals
6585.0,115.43000400066376,144.99066319316626,29.5606591925025
6586.0,117.25000208616257,143.61134516447783,26.361343078315258
6587.0,120.00000348687172,143.3151100203395,23.31510653346777
6588.0,126.31999587267637,142.562947422266,16.242951549589634
6589.0,135.42999820411205,142.15805625915527,6.7280580550432205
6590.0,135.7099994122982,140.5185654759407,4.808566063642502
6591.0,140.53999583423138,136.244195535779,-4.295800298452377
6592.0,140.12999615818262,137.61530868709087,-2.5146874710917473
6593.0,141.37999945878983,138.64398542046547,-2.736014038324356
6594.0,131.75000325590372,135.60274994373322,3.8527466878294945
6595.0,128.63000095635653,132.33050809800625,3.700507141649723
6596.0,122.88000335544348,129.12163916230202,6.24163580685854
6597.0,116.99999751895666,126.59587510675192,9.595877587795258
6598.0,120.50000285357237,123.22762642800808,2.727623574435711
6599.0,116.49999815225601,118.11646644026041,1.6164682880043983
6600.0,117.99999625235796,114.08265569061041,-3.917340561747551
6601.0,115.25000461935997,111.77438925951719,-3.4756153598427773
6602.0,115.75000398606062,111.64099162817001,-4.109012357890606
6603.0,116.75000271946192,113.8092183843255,-2.9407843351364136
6604.0,110.99999535083771,118.75295003503561,7.752954684197903
6605.0,116.6799975335598,124.81354131549597,8.133543781936169
6606.0,132.99999678879976,141.90692840516567,8.90693161636591
6607.0,134.82000464200974,142.02222646772861,7.20222182571888
6608.0,146.12999832630157,143.22435821592808,-2.905640110373497
6609.0,159.19999681413174,184.306843444705,25.106846630573273
6610.0,163.9300011768937,181.94251035153866,18.012509174644947
6611.0,178.25000296533108,179.8916426450014,1.6416396796703339
6612.0,183.24999663233757,175.17932760715485,-8.070669025182724
6613.0,190.99999170005322,171.2866993546486,-19.713292345404625
6614.0,186.75000196695328,166.6370441839099,-20.112957783043385
6615.0,185.11000326275826,172.488948315382,-12.621054947376251
6616.0,181.77000280469656,166.31631162017584,-15.453691184520721
6617.0,176.79999601095915,166.8804457783699,-9.919550232589245
6618.0,170.5700033158064,159.69616723805666,-10.87383607774973
6619.0,156.49999632686377,159.92589403688908,3.4258977100253105
6620.0,140.75000162422657,126.7683338150382,-13.981667809188366
6621.0,127.04000316560268,127.603131249547,0.5631280839443207
6622.0,123.14000029116869,123.2965083271265,0.15650803595781326
6623.0,118.69999927282333,118.52057618647814,-0.17942308634519577
6624.0,120.74999765306711,114.1033241674304,-6.646673485636711
6625.0,116.40999846160412,111.65607297420502,-4.753925487399101
6626.0,117.21000330895185,110.94510081410408,-6.2649024948477745
6627.0,114.88000372052193,113.9081946015358,-0.9718091189861298
6628.0,112.7700022906065,118.38310541957617,5.613103128969669
6629.0,120.86000161617994,125.27942206710577,4.419420450925827
6630.0,132.25000262260437,131.40001639723778,-0.8499862253665924
6631.0,139.03999773412943,134.7484659254551,-4.2915318086743355
6632.0,194.71000282466412,135.79249750077724,-58.91750532388687
6633.0,180.74999979883432,172.8362881243229,-7.913711674511433
6634.0,193.25000350177288,178.0565339103341,-15.19346959143877
6635.0,201.14000894129276,174.03552863001823,-27.10448031127453
6636.0,218.72999623417854,176.35342602431774,-42.3765702098608
6637.0,215.84000399708748,183.49192330241203,-32.348080694675446
6638.0,198.540000513196,182.13393795490265,-16.406062558293343
6639.0,187.75000070035458,174.34916983544827,-13.400830864906311
6640.0,179.49999649822712,172.4099666029215,-7.0900298953056335
6641.0,170.38000179827213,170.56881165504456,0.1888098567724228
6642.0,155.54999850690365,173.28848431259394,17.73848580569029
6643.0,140.07000287622213,151.61523234844208,11.545229472219944
6644.0,135.50000339001417,125.60980512946844,-9.89019826054573
6645.0,116.13999938964844,125.20967084169388,9.06967145204544
6646.0,118.60999958217144,122.40665030479431,3.7966507226228714
